,ds,y
502,2021-09-03,244.5233307
503,2021-09-07,250.9733276
504,2021-09-08,251.2899933
505,2021-09-09,251.6199951
506,2021-09-10,245.4233398
507,2021-09-13,247.6666718
508,2021-09-14,248.1633301
509,2021-09-15,251.9433289
510,2021-09-16,252.3300018
511,2021-09-17,253.1633301
512,2021-09-20,243.3899994
513,2021-09-21,246.4600067
514,2021-09-22,250.6466675
515,2021-09-23,251.2133331
516,2021-09-24,258.1300049
517,2021-09-27,263.7866821
518,2021-09-28,259.186676
519,2021-09-29,260.436676
520,2021-09-30,258.4933472
521,2021-10-01,258.4066772
522,2021-10-04,260.5100098
523,2021-10-05,260.1966553
524,2021-10-06,260.9166565
525,2021-10-07,264.5366821
526,2021-10-08,261.8299866
527,2021-10-11,263.980011
528,2021-10-12,268.5733337
529,2021-10-13,270.3599854
530,2021-10-14,272.7733459
531,2021-10-15,281.0100098
532,2021-10-18,290.0366821
533,2021-10-19,288.0899963
534,2021-10-20,288.6000061
535,2021-10-21,298.0
536,2021-10-22,303.2266541
537,2021-10-25,341.6199951
538,2021-10-26,339.4766541
539,2021-10-27,345.9533386
540,2021-10-28,359.0133362
541,2021-10-29,371.3333435
542,2021-11-01,402.8633423
543,2021-11-02,390.6666565
544,2021-11-03,404.6199951
545,2021-11-04,409.9700012
546,2021-11-05,407.3633423
547,2021-11-08,387.6466675
548,2021-11-09,341.1666565
549,2021-11-10,355.9833374
550,2021-11-11,354.5033264
551,2021-11-12,344.4733276
552,2021-11-15,337.7966614
553,2021-11-16,351.5766602
554,2021-11-17,363.0033264
555,2021-11-18,365.4599915
556,2021-11-19,379.019989
557,2021-11-22,385.6233215
558,2021-11-23,369.6766663
559,2021-11-24,372.0
560,2021-11-26,360.6400146
561,2021-11-29,378.9966736
562,2021-11-30,381.5866699
563,2021-12-01,365.0
564,2021-12-02,361.5333252
565,2021-12-03,338.3233337
566,2021-12-06,336.3366699
567,2021-12-07,350.5833435
568,2021-12-08,356.3200073
569,2021-12-09,334.6000061
570,2021-12-10,339.0100098
571,2021-12-13,322.1366577
572,2021-12-14,319.5033264
573,2021-12-15,325.3299866
574,2021-12-16,308.9733276
575,2021-12-17,310.8566589
576,2021-12-20,299.980011
577,2021-12-21,312.8433228
578,2021-12-22,336.2900085
579,2021-12-23,355.6666565
580,2021-12-27,364.6466675
581,2021-12-28,362.8233337
582,2021-12-29,362.063324
583,2021-12-30,356.7799988
584,2021-12-31,352.2600098
585,2022-01-03,399.9266663
586,2022-01-04,383.1966553
587,2022-01-05,362.706665
588,2022-01-06,354.8999939
589,2022-01-07,342.3200073
590,2022-01-10,352.706665
591,2022-01-11,354.7999878
592,2022-01-12,368.7399902
593,2022-01-13,343.8533325
594,2022-01-14,349.8699951
595,2022-01-18,343.5033264
596,2022-01-19,331.8833313
597,2022-01-20,332.0899963
598,2022-01-21,314.6333313
599,2022-01-24,310.0
600,2022-01-25,306.1333313
601,2022-01-26,312.4700012
602,2022-01-27,276.3666687
603,2022-01-28,282.1166687
604,2022-01-31,312.2399902
605,2022-02-01,310.4166565
606,2022-02-02,301.8866577
607,2022-02-03,297.0466614
608,2022-02-04,307.7733459
609,2022-02-07,302.4466553
610,2022-02-08,307.3333435
611,2022-02-09,310.6666565
612,2022-02-10,301.5166626
613,2022-02-11,286.6666565
614,2022-02-14,291.9200134
615,2022-02-15,307.4766541
616,2022-02-16,307.7966614
617,2022-02-17,292.1166687
618,2022-02-18,285.6600037
